316,Manufacturer,Type,Multi Engine,Lowest Year,Highest Year,Date Range,Year Model Filter,Lowest Age,Highest Age,Min Crew Required,Max Operating Altitude (ft),Balanced Field Length (ft),Aircraft Height (ft),Wingspan (ft),Aircraft Length (ft),Aircraft Volume (cubic ft),Cabin Height (ft),Cabin Width (ft),Cabin Length (ft),Cabin Volume (cubic ft),Baggage Volume (cubic ft),Cabin/Aircraft Volume,Range(NM),Speed(KTS),Passengers,Average Price,Depreciation Rate,Average Trip Time,# of Hours,Passenger Pay,Hourly Charter Rate,Average Charter Trip Time,# of Charter Hours,Yearly Charter Profit,Total Fixed Cost,Total Variable Cost,Adjusted Variable Cost,Annual Budget,Adjusted Annual Budget,Multi-Year Total Cost,MYTC w/ Aircraft Sale,Cost To Charter,Own/Charter Ratio,Own/Charter Savings,Best Speed/$,Normalized Speed/$,Best Seat Speed/$,Best Range/$,Normalized Range/$,Best Seat Range/$,Best Performance/$,Normalized Performance/$,Best Seat Performance/$,Best Efficiency/$,Normalized Effieciency/$,Best Seat Efficiency/$,Best All Around/$,Best Seat All Around/$,Total Hourly Cost,Hourly Cost/Seat,Cost/Mile,Cost/Seat Mile,Hourly Variable Cost,Variable Cost/Seat,Variable Cost/Mile,Variable Cost/Seat Mile
M20M BRAVO DX,MOONEY,Piston,No,2003,2005,2003-2005,Yes,19,21,1,"25,000","2,047",8.40,36.00,26.90,"8,135",3.80,3.70,10.60,149.04,20,5.5,640,217,3,"$180,000","$146,767",1.8,192,$0,$116.06,0.0,0,$0,"$83,745","$46,424","$29,666","$130,169","$48,411","$455,287","$308,519","$444,986",0.69,"-$136,466",2.10,0.00,0.70,7.11,2.84,2.37,1.42,0.00,0.47,0.97,0.10,0.32,0.05,0.02,$650.85,$216.95,$3.00,$1.00,$232.12,$77.37,$1.07,$0.36
M20M BRAVO GX,MOONEY,Piston,No,2005,2007,2005-2007,Yes,17,19,1,"25,000","2,047",8.40,36.10,26.90,"8,157",3.80,3.70,10.60,149.04,20,5.5,640,217,3,"$235,000","$191,613",1.8,192,$0,$116.56,0.0,0,$0,"$83,845","$46,624","$29,794","$130,469","$48,639","$521,580","$329,967","$446,903",0.74,"-$116,935",2.40,1.05,0.80,8.15,4.95,2.72,3.00,2.19,1.00,1.12,0.12,0.37,1.16,0.39,$652.35,$217.45,$3.01,$1.00,$233.12,$77.71,$1.07,$0.36
337H,CESSNA,Piston,Yes,1978,1980,1978-1980,No,44,46,1,"16,300","1,633",9.20,38.00,29.90,"10,453",4.30,3.80,9.92,162.09,15,6.4,928,169,5,"$128,000","$104,368",2.4,246,$0,$203.46,0.0,0,$0,"$94,580","$81,384","$66,777","$175,964","$96,357","$633,415","$529,048","$1,001,649",0.53,"-$472,602",3.75,5.66,0.75,6.83,2.25,1.37,3.95,3.51,0.79,3.05,0.51,0.61,2.01,0.40,$879.82,$175.96,$5.21,$1.04,$406.92,$81.38,$2.41,$0.48
M20S EAGLE,MOONEY,Piston,No,1999,2000,1999-2000,Yes,24,25,1,"18,500","2,243",8.40,36.10,26.90,"8,157",3.80,3.70,10.60,149.04,21,5.5,721,169,3,"$188,000","$153,290",2.4,246,$0,$99.34,0.0,0,$0,"$83,045","$39,736","$32,604","$122,781","$50,649","$475,954","$322,664","$489,058",0.66,"-$166,394",2.82,2.46,0.94,6.60,1.79,2.20,2.13,0.98,0.71,1.12,0.12,0.37,0.55,0.18,$613.91,$204.64,$3.63,$1.21,$198.68,$66.23,$1.18,$0.39
DUKE B60,BEECHCRAFT,Piston,Yes,1974,1982,1974-1982,No,42,50,1,"30,000","2,193",12.40,39.40,33.91,"16,567",4.40,4.20,9.91,183.14,60,9.0,990,215,5,"$230,000","$187,536",1.9,193,$0,$367.90,0.0,0,$0,"$100,195","$147,160","$94,912","$247,355","$130,107","$923,002","$735,466","$1,423,687",0.52,"-$688,221",4.29,7.53,0.86,9.32,7.34,1.86,7.44,8.32,1.49,6.32,1.15,1.26,4.74,0.95,"$1,236.78",$247.36,$5.75,$1.15,$735.80,$147.16,$3.42,$0.68
402C,CESSNA,Piston,Yes,1979,1985,1979-1985,No,39,45,1,"26,900","2,140",11.60,44.20,36.50,"18,714",4.30,4.70,11.30,228.37,69,8.2,843,196,7,"$185,000","$150,844",2.0,212,$0,$283.52,0.0,0,$0,"$102,655","$113,408","$80,234","$216,063","$117,889","$808,602","$657,758","$1,203,513",0.55,"-$545,755",4.13,6.95,0.59,9.59,7.89,1.37,7.42,8.31,1.06,4.68,0.83,0.67,4.57,0.65,"$1,080.32",$154.33,$5.51,$0.79,$567.04,$81.01,$2.89,$0.41
310Q,CESSNA,Piston,Yes,1970,1974,1970-1974,No,50,54,1,"19,750","1,658",10.60,35.00,27.00,"10,017",4.10,4.00,8.80,144.32,80,6.9,446,200,5,"$247,000","$201,397",2.0,208,$0,$234.36,0.0,0,$0,"$91,650","$93,744","$64,996","$185,394","$91,646","$750,832","$549,435","$974,938",0.56,"-$425,503",3.75,5.68,0.75,16.83,22.66,3.37,14.17,17.64,2.83,3.52,0.60,0.70,9.12,1.82,$926.97,$185.39,$4.63,$0.93,$468.72,$93.74,$2.34,$0.47
AZTEC D-E,PIPER,Piston,Yes,1969,1975,1969-1975,No,49,55,1,"20,572","1,219",10.40,37.20,31.20,"12,071",3.60,4.10,8.30,122.51,47,9.9,449,183,5,"$188,000","$153,290",2.2,227,$0,$224.90,0.0,0,$0,"$96,495","$89,960","$68,166","$186,455","$99,661","$721,017","$567,727","$1,022,496",0.56,"-$454,769",3.94,6.32,0.79,16.06,21.08,3.21,13.70,16.99,2.74,3.54,0.60,0.71,8.80,1.76,$932.28,$186.46,$5.09,$1.02,$449.80,$89.96,$2.46,$0.49
M20J MSE ALLEGRO,MOONEY,Piston,No,1990,1998,1990-1998,Yes,26,34,1,"18,600","2,437",8.40,36.10,24.80,"7,520",3.80,3.70,9.60,134.98,20,5.6,594,158,3,"$197,000","$160,628",2.5,263,$0,$93.10,0.0,0,$0,"$82,300","$37,240","$32,683","$119,540","$49,983","$483,288","$322,659","$490,248",0.66,"-$167,589",3.06,3.30,1.02,8.14,4.92,2.71,4.11,3.72,1.37,1.14,0.13,0.38,1.92,0.64,$597.70,$199.23,$3.78,$1.26,$186.20,$62.07,$1.18,$0.39
SR22,CIRRUS,Piston,No,2001,2003,2001-2003,Yes,21,23,1,"17,500","1,535",8.92,38.40,26.00,"8,906",4.20,4.10,10.91,187.87,32,4.7,907,180,3,"$268,000","$218,520",2.2,231,$0,$100.32,0.0,0,$0,"$82,560","$40,128","$30,913","$122,688","$48,473","$559,847","$341,327","$463,701",0.74,"-$122,374",3.11,3.47,1.04,6.17,0.92,2.06,2.19,1.07,0.73,1.25,0.15,0.42,0.61,0.20,$613.44,$204.48,$3.41,$1.14,$200.64,$66.88,$1.11,$0.37
P210N,CESSNA,Piston,No,1978,1983,1978-1983,No,41,46,1,"25,000","2,057",9.80,36.90,28.20,"10,198",4.00,3.60,8.80,126.72,26,8.0,434,179,5,"$267,000","$217,705",2.2,232,$0,$171.00,0.0,0,$0,"$84,285","$68,400","$52,988","$152,685","$72,273","$677,659","$459,955","$794,816",0.58,"-$334,861",3.79,5.79,0.76,15.61,20.17,3.12,12.98,15.99,2.60,2.59,0.41,0.52,8.20,1.64,$763.43,$152.69,$4.26,$0.85,$342.00,$68.40,$1.91,$0.38
SR20,CIRRUS,Piston,No,1999,2003,1999-2003,Yes,21,25,1,"17,500","1,909",8.92,38.40,26.00,"8,906",4.20,4.10,10.90,187.70,32,4.7,780,160,3,"$225,000","$183,459",2.5,260,$0,$76.38,0.0,0,$0,"$82,560","$30,552","$26,478","$113,112","$44,038","$486,733","$303,274","$397,176",0.76,"-$93,902",3.04,3.24,1.01,6.24,1.05,2.08,2.15,1.01,0.72,0.93,0.09,0.31,0.55,0.18,$565.56,$188.52,$3.53,$1.18,$152.76,$50.92,$0.95,$0.32
LANCE PA32R,PIPER,Piston,No,1976,1979,1976-1979,No,45,48,1,"15,400","2,301",9.60,32.91,27.90,"8,815",4.10,3.60,10.40,153.50,24,5.7,692,156,5,"$208,000","$169,598",2.6,267,$0,$124.56,0.0,0,$0,"$82,310","$49,824","$44,288","$132,134","$61,598","$554,392","$384,795","$664,320",0.58,"-$279,525",3.55,4.99,0.71,8.01,4.67,1.60,4.83,4.72,0.97,1.77,0.25,0.35,2.49,0.50,$660.67,$132.13,$4.24,$0.85,$249.12,$49.82,$1.60,$0.32
M20R OVATION 2 DX,MOONEY,Piston,No,2003,2005,2003-2005,Yes,19,21,1,"20,000","2,189",8.40,36.10,26.90,"8,157",3.80,3.70,10.60,149.04,23,5.5,783,173,3,"$269,000","$219,335",2.3,240,$0,$108.06,0.0,0,$0,"$83,745","$43,224","$34,646","$126,969","$53,391","$585,619","$366,284","$519,687",0.70,"-$153,404",3.39,4.41,1.13,7.48,3.58,2.49,4.00,3.57,1.33,1.46,0.19,0.49,1.88,0.63,$634.85,$211.62,$3.67,$1.22,$216.12,$72.04,$1.25,$0.42
M20R OVATION,MOONEY,Piston,No,1994,1999,1994-1999,Yes,25,30,1,"20,000","2,188",8.40,36.10,26.90,"8,157",3.80,3.70,10.60,149.04,23,5.5,783,173,3,"$272,000","$221,781",2.3,240,$0,$109.06,0.0,0,$0,"$83,045","$43,624","$34,966","$126,669","$53,011","$587,276","$365,494","$524,497",0.70,"-$159,002",3.39,4.45,1.13,7.50,3.62,2.50,4.04,3.62,1.35,1.48,0.20,0.49,1.91,0.64,$633.35,$211.12,$3.66,$1.22,$218.12,$72.71,$1.26,$0.42
BARON B55,BEECHCRAFT,Piston,Yes,1964,1982,1964-1982,No,42,60,1,"18,817","1,755",9.70,37.91,28.00,"10,296",4.10,3.60,9.80,144.65,53,7.1,497,184,5,"$242,000","$197,320",2.2,226,$0,$195.22,0.0,0,$0,"$96,860","$78,088","$58,849","$174,948","$90,709","$740,224","$542,904","$882,734",0.62,"-$339,830",4.02,6.60,0.80,14.89,18.70,2.98,12.65,15.54,2.53,3.14,0.52,0.63,8.03,1.61,$874.74,$174.95,$4.75,$0.95,$390.44,$78.09,$2.12,$0.42
M20R OVATION 3,MOONEY,Piston,No,2007,2010,2007-2010,Yes,14,17,1,"20,000","2,233",8.40,36.10,26.90,"8,157",3.80,3.70,10.60,149.04,23,5.5,783,173,3,"$270,000","$220,151",2.3,240,$0,$105.06,0.0,0,$0,"$85,645","$42,024","$33,684","$127,669","$54,329","$591,494","$371,344","$505,260",0.73,"-$133,916",3.42,4.53,1.14,7.55,3.73,2.52,4.13,3.76,1.38,1.44,0.19,0.48,1.97,0.66,$638.35,$212.78,$3.69,$1.23,$210.12,$70.04,$1.21,$0.40
M20TN ACCLAIM,MOONEY,Piston,No,2006,2009,2006-2009,Yes,15,18,1,"25,000","2,200",8.40,36.60,26.80,"8,239",3.80,3.70,10.60,149.04,23,5.5,270,241,3,"$424,000","$345,718",1.7,173,$0,$120.28,0.0,0,$0,"$84,445","$48,112","$27,683","$132,557","$47,128","$737,920","$392,202","$415,240",0.94,"-$23,038",3.06,3.31,1.02,27.33,44.07,9.11,23.69,30.80,7.90,1.47,0.19,0.49,15.50,5.17,$662.79,$220.93,$2.75,$0.92,$240.56,$80.19,$1.00,$0.33
BONANZA F33A,BEECHCRAFT,Piston,No,1970,1994,1970-1994,No,30,54,1,"17,500","1,696",8.30,33.60,26.80,"7,474",4.20,3.60,10.10,152.71,30,4.9,541,172,4,"$279,000","$227,489",2.3,242,$0,$125.06,0.0,0,$0,"$83,500","$50,024","$40,329","$133,524","$58,829","$624,658","$397,169","$604,941",0.66,"-$207,772",3.63,5.26,0.91,11.55,11.88,2.89,8.57,9.89,2.14,1.82,0.26,0.45,5.08,1.27,$667.62,$166.91,$3.88,$0.97,$250.12,$62.53,$1.45,$0.36
NAVAJO 310,PIPER,Piston,Yes,1967,1983,1967-1983,No,41,57,1,"23,600","1,706",13.00,40.80,32.80,"17,397",4.30,4.10,8.70,153.38,78,11.3,624,178,7,"$223,000","$181,828",2.2,234,$0,$267.30,0.0,0,$0,"$99,095","$106,920","$83,293","$206,015","$117,388","$851,114","$669,286","$1,249,402",0.54,"-$580,116",4.78,9.21,0.68,13.64,16.14,1.95,12.67,15.57,1.81,5.11,0.91,0.73,8.24,1.18,"$1,030.08",$147.15,$5.79,$0.83,$534.60,$76.37,$3.00,$0.43
BONANZA V35B,BEECHCRAFT,Piston,No,1970,1982,1970-1982,No,42,54,1,"17,500","1,725",7.10,32.91,25.10,"5,865",4.20,3.60,10.10,152.71,30,3.8,731,172,3,"$289,000","$235,643",2.3,242,$0,$132.56,0.0,0,$0,"$82,895","$53,024","$42,748","$135,919","$60,643","$645,572","$409,930","$641,220",0.64,"-$231,291",3.75,5.68,1.25,8.83,6.34,2.94,6.01,6.35,2.00,1.99,0.30,0.66,3.32,1.11,$679.60,$226.53,$3.95,$1.32,$265.12,$88.37,$1.54,$0.51
DA 20-C1,DIAMOND,Piston,No,2001,2024,2001-2024,Yes,0,23,1,"16,400","1,231",7.20,35.80,23.60,"6,083",3.80,3.90,8.50,125.97,20,4.8,195,131,1,"$145,000","$118,229",3.1,318,$0,$55.42,0.0,0,$0,"$81,270","$22,168","$23,465","$103,438","$39,735","$370,448","$252,219","$351,980",0.72,"-$99,762",2.83,2.50,2.83,19.00,27.07,19.00,14.79,18.49,14.79,0.63,0.03,0.63,9.26,9.26,$517.19,$517.19,$3.95,$3.95,$110.84,$110.84,$0.85,$0.85
SR22-G2,CIRRUS,Piston,No,2004,2007,2004-2007,Yes,17,20,1,"17,500","1,535",8.92,38.40,26.00,"8,906",4.20,4.10,10.91,187.87,32,4.7,907,180,3,"$325,000","$264,996",2.2,231,$0,$101.32,0.0,0,$0,"$83,260","$40,528","$31,222","$123,788","$49,482","$632,412","$367,416","$468,324",0.78,"-$100,908",3.51,4.86,1.17,6.97,2.55,2.32,3.70,3.16,1.23,1.42,0.18,0.47,1.67,0.56,$618.94,$206.31,$3.44,$1.15,$202.64,$67.55,$1.13,$0.38
DAKOTA,PIPER,Piston,No,1979,1994,1979-1994,No,30,45,1,"17,500","1,185",7.20,35.40,24.70,"6,296",3.80,3.40,9.60,124.03,26,5.1,821,139,5,"$187,000","$152,475",2.9,299,$0,$98.58,0.0,0,$0,"$82,885","$39,432","$39,337","$122,317","$57,222","$507,637","$355,163","$590,062",0.60,"-$234,899",3.65,5.33,0.73,6.18,0.94,1.24,3.13,2.37,0.63,1.44,0.19,0.29,1.28,0.26,$611.59,$122.32,$4.40,$0.88,$197.16,$39.43,$1.42,$0.28
CHEROKEE 140,PIPER,Piston,No,1964,1977,1964-1977,No,47,60,1,"11,000","1,609",7.30,30.00,23.30,"5,103",3.80,3.40,8.20,105.94,24,4.8,649,118,3,"$80,000","$65,230",3.4,353,$0,$81.38,0.0,0,$0,"$82,085","$32,552","$38,253","$114,637","$55,338","$371,461","$306,231","$573,798",0.53,"-$267,567",3.15,3.60,1.05,5.72,0.00,1.91,1.80,0.53,0.60,1.02,0.11,0.34,0.32,0.11,$573.19,$191.06,$4.86,$1.62,$162.76,$54.25,$1.38,$0.46
M20K ENCORE,MOONEY,Piston,No,1997,1998,1997-1998,Yes,26,27,1,"25,000","1,706",8.40,36.10,25.50,"7,733",3.80,3.70,6.70,94.20,20,8.2,852,165,3,"$296,000","$241,350",2.4,252,$0,$106.58,0.0,0,$0,"$83,245","$42,632","$35,828","$125,877","$54,073","$621,015","$379,665","$537,422",0.71,"-$157,757",3.76,5.71,1.25,7.29,3.19,2.43,4.45,4.20,1.48,1.60,0.22,0.53,2.21,0.74,$629.39,$209.80,$3.81,$1.27,$213.16,$71.05,$1.29,$0.43
DA 20-A1,DIAMOND,Piston,No,1995,1998,1995-1998,Yes,26,29,1,"14,000","1,521",6.92,35.70,23.60,"5,830",3.80,3.90,8.50,125.97,20,4.6,429,117,1,"$100,000","$81,537",3.4,356,$0,$46.94,0.0,0,$0,"$79,970","$18,776","$22,253","$98,746","$37,223","$304,578","$223,041","$333,796",0.67,"-$110,755",2.60,1.73,2.60,7.10,2.81,7.10,2.27,1.18,2.27,0.49,0.00,0.49,0.59,0.59,$493.73,$493.73,$4.22,$4.22,$93.88,$93.88,$0.80,$0.80
207,CESSNA,Piston,No,1969,1984,1969-1984,No,40,55,1,"13,300","2,047",9.70,35.91,32.20,"11,216",4.00,3.60,12.00,172.80,20,6.5,387,149,8,"$236,000","$192,428",2.7,279,$0,$106.34,0.0,0,$0,"$85,465","$42,536","$39,586","$128,001","$60,051","$579,827","$387,399","$593,791",0.65,"-$206,392",3.89,6.15,0.49,14.98,18.88,1.87,12.52,15.35,1.56,1.66,0.23,0.21,7.79,0.97,$640.01,$80.00,$4.30,$0.54,$212.68,$26.59,$1.43,$0.18
CORVALIS 350,CESSNA,Piston,No,2003,2011,2003-2011,Yes,13,21,1,"18,000","2,242",9.00,36.10,25.20,"8,187",4.10,4.10,11.80,198.36,25,4.1,"1,085",181,3,"$349,000","$284,565",2.2,230,$0,$95.34,0.0,0,$0,"$84,210","$38,136","$29,217","$122,346","$48,427","$655,568","$371,003","$438,248",0.85,"-$67,245",3.62,5.23,1.21,6.04,0.65,2.01,2.94,2.10,0.98,1.38,0.18,0.46,1.14,0.38,$611.73,$203.91,$3.38,$1.13,$190.68,$63.56,$1.05,$0.35
182R,CESSNA,Piston,No,1981,1986,1981-1986,No,38,43,1,"14,900","1,477",9.40,36.00,28.60,"9,678",4.00,3.60,11.20,161.28,32,6.0,844,142,3,"$226,000","$184,274",2.8,293,$0,$89.62,0.0,0,$0,"$83,390","$35,848","$35,006","$119,238","$53,396","$534,708","$350,434","$525,097",0.67,"-$174,663",3.77,5.72,1.26,6.34,1.25,2.11,3.48,2.86,1.16,1.35,0.17,0.45,1.51,0.50,$596.19,$198.73,$4.20,$1.40,$179.24,$59.75,$1.26,$0.42
210N,CESSNA,Piston,No,1979,1984,1979-1984,No,40,45,1,"17,300","2,106",9.70,36.60,28.20,"10,012",4.00,3.60,8.80,126.72,21,7.9,440,170,5,"$322,000","$262,550",2.4,245,$0,$133.02,0.0,0,$0,"$84,785","$53,208","$43,401","$137,993","$63,186","$697,380","$434,830","$651,016",0.67,"-$216,185",4.10,6.87,0.82,15.85,20.65,3.17,13.76,17.08,2.75,2.18,0.33,0.44,8.71,1.74,$689.97,$137.99,$4.06,$0.81,$266.04,$53.21,$1.56,$0.31
